brand_id,user_id,c999_id_value
5,4000013726,742220
2,800118,742165
2,800112,742143
2,799559,741643
2,799544,741626
2,799106,741222
5,4000013316,591751
5,4000013280,741091
2,798899,740998
2,798888,740991
2,798885,740989
2,798840,740942
2,798777,740885
5,4000013164,740836
5,4000013146,740792
5,4000013070,740577
2,798460,740571
2,798406,740529
2,798398,740393
5,4000013030,740501
5,4000013001,303670
1,1967085557,740393
2,798225,740356
1,1967085488,691079
5,4000012929,740314
2,798131,740270
2,797960,740085
5,4000012835,96443
5,4000012828,177143
2,797718,739861
5,4000012691,101986
2,797630,739779
2,797608,739758
5,4000012578,352122
2,797276,567410
2,797120,739301
5,4000012439,739293
5,4000012403,739228
2,796754,118878
2,796651,738901
5,4000012187,89073
2,796370,738652
2,796320,738609
5,4000011998,630622
2,796136,283716
5,4000011944,738376
2,796059,738363
2,796002,738312
2,795940,738239
5,4000011737,77418
5,4000011736,738069
2,795716,738061
5,4000011731,371414
2,795701,738033
5,4000011631,207407
5,4000011592,314264
5,4000011510,64679
5,4000011504,131778
5,4000011175,737419
5,4000010957,279594
5,4000010878,737154
5,4000010789,737087
2,794635,737059
5,4000010631,736906
5,4000010488,240568
5,4000010460,315477
5,4000010456,362253
2,794327,736738
5,4000010375,696031
2,794029,736512
2,793986,733438
2,793859,736376
5,4000010022,736332
5,4000009961,224348
2,793776,736270
2,793592,736082
2,793464,735992
5,4000009717,198425
2,793267,715345
2,793175,735729
5,4000009665,255197
5,4000009613,735504
5,4000009583,735424
5,4000009535,735279
2,792604,735225
5,4000009493,106653
2,792066,734742
2,792037,317484
5,4000009274,734579
5,4000009238,272316
1,1967081513,734403
2,791651,734367
5,4000009169,621987
1,1967081396,734123
5,4000009137,734098
2,791450,673042
5,4000009112,733989
5,4000009104,305544
5,4000009058,207784
5,4000009033,207568
2,791075,733441
2,791059,627787
5,4000008947,16802
5,4000008942,150340
2,790830,733038
2,790797,733006
2,790780,678089
5,4000008806,732654
2,790564,732596
2,790497,673660
5,4000008750,353690
2,790301,728644
5,4000008670,732144
2,790254,512280
2,790147,731930
2,790139,731917
5,4000004301,589687
1,1967080131,731760
5,4000008572,107155
2,789902,731506
2,789893,731494
5,4000008532,553969
2,789885,731468
5,4000008523,731376
5,4000008510,731313
2,789810,731303
5,4000008464,731100
5,4000008449,731033
5,4000008448,731030
2,789622,730991
2,789599,730964
5,4000008383,358325
2,789404,730629
2,789399,730617
5,4000008335,703291
5,4000008233,82681
5,4000008177,729984
2,788996,729920
5,4000008135,114486
5,4000008072,351155
2,788707,606893
2,788625,729300
2,788578,729212
5,4000007987,695371
2,788514,729110
2,788457,694041
1,1967079090,728831
2,788241,484495
5,4000007825,728551
1,1967078819,728165
2,787948,728155
2,787943,728141
5,4000007699,166322
2,787829,727922
5,4000007667,727840
5,4000007504,727079
5,4000007482,727029
5,4000007421,726781
5,4000007393,260228
2,786940,726446
5,4000007336,726413
5,4000007270,261657
5,4000007211,725874
5,4000007208,180783
5,4000007203,153363
5,4000007191,173058
5,4000007162,725683
5,4000007093,98174
2,786349,725445
5,4000007049,720310
2,786243,725296
2,786237,297955
2,786180,725218
2,786177,725212
5,4000007029,725210
5,4000006979,485162
1,1967077644,724845
2,785927,724796
2,785612,724531
2,783764,722745
2,783478,722448
2,783450,722430
2,783377,722284
2,783350,722236
2,783178,721948
2,783142,721905
5,4000005500,181942
2,782957,721555
5,4000005366,721415
5,4000005339,714082
5,4000005311,92709
2,782674,720957
1,1967075648,721025
2,782548,720862
5,4000005215,720773
2,782474,703955
5,4000005197,720708
2,782447,607247
2,782302,720454
2,782152,720225
2,782151,720221
2,782145,720213
5,4000004987,719930
5,4000004959,118695
