id,game_name,operator,network
913635440,Squeeze,ELK,nyx
913635441,Squeeze,ELK,nyx
913635791,Slurpy,ELK,nyx
913635792,Slurpy,ELK,nyx
913635981,Cluster Kingdom,ELK,nyx
913635982,Cluster Kingdom,ELK,nyx
913636067,Thoro,ELK,nyx
913636068,Thoro,ELK,nyx
913636693,Pirots X,ELK,nyx
913636694,Pirots X,ELK,nyx
913636825,Ryze,ELK,nyx
913636826,Ryze,ELK,nyx
913636965,Catemple,ELK,nyx
913637139,Reindeer Royale,ELK,nyx
913637282,Shadow Shifter,ELK,nyx
913637318,Cygnus 5,ELK,nyx
913637410,Tinkerbot,ELK,nyx
913637506,Tropicool 4,ELK,nyx
913637619,Nitropolis TV,ELK,nyx
913637706,Oxygen 2,ELK,nyx
913637709,Oxygen 2,ELK,nyx
913637861,Orbitfall,ELK,nyx
913637935,In the Zone,ELK,nyx
913638040,Knight Fight,ELK,nyx
913638112,ZapLab,ELK,nyx
