Script start time: '2025-04-30 12:57:14'
```shell
Starting migration from users_settings to users_privacy_settings...
Found 10 shards. Processing each shard...
Processing shard #0...
Fetching settings that need to be migrated...
Processed 153000 records, Migrated: 38609, Skipped: 114391...
Processed 154000 records, Migrated: 38788, Skipped: 115212...
Processed 155000 records, Migrated: 38981, Skipped: 116019...
Processed 156000 records, Migrated: 39204, Skipped: 116796...
Processed 157000 records, Migrated: 39418, Skipped: 117582...
Processed 158000 records, Migrated: 39651, Skipped: 118349...
Processed 159000 records, Migrated: 39891, Skipped: 119109...
Processed 160000 records, Migrated: 40091, Skipped: 119909...
Processed 161000 records, Migrated: 40315, Skipped: 120685...
Processed 162000 records, Migrated: 40552, Skipped: 121448...
Processed 163000 records, Migrated: 40770, Skipped: 122230...
Processed 164000 records, Migrated: 40977, Skipped: 123023...
Processed 165000 records, Migrated: 41180, Skipped: 123820...
Processed 166000 records, Migrated: 41392, Skipped: 124608...
Processed 167000 records, Migrated: 41653, Skipped: 125347...
Processed 168000 records, Migrated: 41884, Skipped: 126116...
Processed 169000 records, Migrated: 42117, Skipped: 126883...
Processed 170000 records, Migrated: 42367, Skipped: 127633...
Processed 171000 records, Migrated: 42596, Skipped: 128404...
Processed 172000 records, Migrated: 42825, Skipped: 129175...
Processed 173000 records, Migrated: 43068, Skipped: 129932...
Processed 174000 records, Migrated: 43266, Skipped: 130734...
Processed 175000 records, Migrated: 43510, Skipped: 131490...
Processed 176000 records, Migrated: 43761, Skipped: 132239...
Processed 177000 records, Migrated: 43989, Skipped: 133011...
Processed 178000 records, Migrated: 44169, Skipped: 133831...
Processed 179000 records, Migrated: 44430, Skipped: 134570...
Processed 180000 records, Migrated: 44636, Skipped: 135364...
Processed 181000 records, Migrated: 44881, Skipped: 136119...
Processed 182000 records, Migrated: 45088, Skipped: 136912...
Processed 183000 records, Migrated: 45342, Skipped: 137658...
Processed 184000 records, Migrated: 45594, Skipped: 138406...
Processed 185000 records, Migrated: 45809, Skipped: 139191...
Processed 186000 records, Migrated: 46025, Skipped: 139975...
Processed 187000 records, Migrated: 46265, Skipped: 140735...
Processed 188000 records, Migrated: 46469, Skipped: 141531...
Processed 189000 records, Migrated: 46688, Skipped: 142312...
Processed 190000 records, Migrated: 46904, Skipped: 143096...
Processed 191000 records, Migrated: 47163, Skipped: 143837...
Processed 192000 records, Migrated: 47415, Skipped: 144585...
Processed 193000 records, Migrated: 47655, Skipped: 145345...
Processed 194000 records, Migrated: 47861, Skipped: 146139...
Processed 195000 records, Migrated: 48113, Skipped: 146887...
Processed 196000 records, Migrated: 48360, Skipped: 147640...
Processed 197000 records, Migrated: 48600, Skipped: 148400...
Processed 198000 records, Migrated: 48821, Skipped: 149179...
Processed 199000 records, Migrated: 49047, Skipped: 149953...
Processed 200000 records, Migrated: 49255, Skipped: 150745...
Processed 201000 records, Migrated: 49459, Skipped: 151541...
Processed 202000 records, Migrated: 49657, Skipped: 152343...
