brand_id,user_id,c999_id_value
2,803578,745297
2,803575,745293
2,803574,745291
5,4000014639,745289
5,4000014622,313788
5,4000014312,744228
2,802117,744006
5,4000014152,743654
1,1967087212,743586
2,801649,743579
2,801327,743257
2,800920,742885
2,800617,742612
5,4000013838,742561
5,4000013750,741112
5,4000013688,742109
2,799895,524446
2,799678,741739
2,799558,741638
5,4000013524,71182
2,799530,741613
2,799283,741381
2,799224,741318
2,799174,741279
2,798921,741015
2,798885,740989
5,4000013140,224255
2,798660,740769
5,4000013124,740742
1,1967085734,740664
2,798441,740551
2,798406,740529
5,4000013023,740491
5,4000012967,740375
5,4000012860,153219
2,797983,740107
2,797947,740071
5,4000012796,739984
2,797806,739929
2,797347,739508
2,797329,739490
5,4000012492,32961
5,4000012475,739389
1,1967084874,739302
2,797062,739245
2,796657,738909
5,4000012214,738906
5,4000012194,738844
2,796290,738562
2,796275,738547
2,796071,738370
2,796024,738339
2,796014,738329
2,796006,738319
2,795767,738092
5,4000011733,738064
2,795698,738023
5,4000011242,86726
2,794932,737316
2,794327,736738
2,794116,736588
5,4000010123,341061
2,793946,736424
2,793856,736339
5,4000009979,7232
5,4000009941,112781
5,4000009914,102082
2,793766,736261
2,793592,736082
2,793455,735978
2,793424,735937
5,4000009749,630317
5,4000009704,735801
5,4000009668,735709
5,4000009650,81349
5,4000009620,735534
2,792924,735507
2,792774,735382
2,792740,735331
2,792576,735191
2,792238,734898
2,792177,734856
2,792066,734742
2,791664,734389
2,791345,733909
2,791285,733795
2,791113,733502
2,791070,733436
2,791033,733375
5,4000008933,733184
5,4000008869,732960
5,4000008837,621675
2,790610,732658
5,4000008740,732400
2,790454,732388
5,4000008721,318770
5,4000008642,731980
2,790158,731956
2,790140,731921
2,790107,731871
5,4000008603,731804
5,4000008592,731766
2,790017,731707
2,789966,731610
5,4000008539,731523
2,789902,731506
5,4000008523,731376
5,4000008461,731084
2,789668,731051
2,789580,730897
2,789531,730822
2,789304,730466
5,4000008297,149884
